id,title,developer_id,price_min,price_max,bhk_config,locality,city,rera_number,cover_image_local,source_platform,source_url
cdb42c6d-30e2-4cf7-921b-2ff3f9caa103,"Flats / Apartments for Rent in Sector 28, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-sector-28-gandhinagar
0df537a3-506a-44e1-91d7-d8539fefa117,"Flats / Apartments for Sale in Baldana, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-baldana-ahmedabad
af9568ca-1763-445c-b6e2-316a55fb0677,"Flats / Apartments for Sale in Bavla Market Yard, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-bavla-market-yard-ahmedabad
d9c875e2-eb04-473f-b9ae-54a0b6db7e36,"Flats / Apartments for Rent in Sector 13, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-sector-13-gandhinagar
9d4b382f-6a01-40af-8c90-a09efd5c37f0,"Flats / Apartments for Rent in Hajipur, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-hajipur-gandhinagar
3f6eb329-d507-4d46-8103-45a5ca06de22,"Flats / Apartments for Rent in Kathwada Maize Product, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-kathwada-maize-product-ahmedabad
622dcb39-8778-419d-a7b0-b290d6b8e904,"Flats / Apartments for Sale in Kalana, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-kalana-ahmedabad
8aacfea0-1161-45fe-b4c2-9b158b977b46,"Flats / Apartments for Sale in Mota Chiloda, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-mota-chiloda-gandhinagar
f50475c4-e286-4e19-b13c-c4869f8f4e4f,"Flats / Apartments for Sale in Fatepura, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-fatepura-gandhinagar
917cd0bc-74db-4311-9844-e94f960b8527,"Flats / Apartments for Sale in Panar, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-panar-ahmedabad
d912fc97-cecc-46aa-b116-f4e452e9b7cd,"Flats / Apartments for Rent in Shahibag, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-shahibag-ahmedabad
8989460c-9af8-48f9-b2f4-358c1865256d,"Flats / Apartments for Sale in Singrava, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-singrava-ahmedabad
24ef5a50-978d-4047-aab2-ac4e2de14747,"Flats / Apartments for Rent in Bhadana, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-bhadana-ahmedabad
4301c5ef-0257-422f-a0b3-a199fbfdc999,"Flats / Apartments for Rent in Sari, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-sari-ahmedabad
